user_id,total_inflow,total_income,total_transfer_in,total_outflow,outflow_inflow_ratio,income_spent_pct
b'\x06\xfb\xd4P\x94\xe8F6\xb8LI\xea\x81\x1a\xef\xa2',20711.83,13872.56,6839.27,20711.51,0.9999845498925009,1.4929839914190315
b'\x07\t\x1d\xd2$\x9aL~\x8d\xc4\x15\xdf\xe2\xf4\xa9A',20120.18,12356.300000000001,7763.88,20489.540000000005,1.018357688648909,1.658226168027646
b'\x07\x11\x02\xe5\xe3\xc5B\xdb\x97vy\xb6N\x94+\xad',3469.36,1377.88,2091.48,3465.72,0.9989508151359328,2.5152553197665974
b'\x07\x12\xcc\x91\xb87C\x1d\x97j\xfe\xbbh\xedIX',42124.43,26091.53,16032.9,42771.19,1.0153535608671738,1.6392748911236714
"b'\x07""*\xe9l\xbdCD\x8a8\xebv\x077J\xa6'",9646.3,5949.98,3696.32,12246.52,1.2695562028964475,2.0582455739347023
b'\x07.\xcd\xdb\x0f-O\xbf\xa9\xfd\x8e\xcd\xd3\xe9]L',37323.54,29179.38,8144.16,37849.76,1.014098877008987,1.2971406520632036
b'\x07.\xd5|UNIN\x93\xec\x16\xad!@\xaeJ',6.0,0.0,6.0,0.0,0.0,0.0
b'\x071\x08\xec$\xf5JK\xad\xe3\xb4=\x0e\xb3S\x81',38082.58,16755.29,21327.29,40810.54000000001,1.0716327517725954,2.4356809103274255
b'\x07i\xa4\t\xb6\x1f@\x92\xb7\xb7\xf6s\x80\n\xb8\xe8',7911.18,1595.58,6315.6,7451.1900000000005,0.9418557029419126,4.669894333095176
b'\x07\x83l\x1c\xe40Lr\x9ef\x93\x8a\xed\xde\xd9\xce',31373.18,2811.21,28561.97,31429.800000000003,1.0018047262024443,10.0
b'\x07\x91\xdf9h=B\xa3\xb4\x1a\x03\xa0\xa6s\x7f\xd1',921.0,0.0,921.0,1385.98,1.5048642779587404,10.0
b'\x07\x94\xa7\x1d\xf2\x07E\r\xab<\x0b\xd0\x8a\x17j>',2061.77,270.0,1791.77,3714.3900000000003,1.80155400456889,10.0
b'\x07\x97\xa2+\xe3\xc7Az\xad\xbcT\x8e\x92&\x13_',14495.42,6600.74,7894.68,15139.8,1.0444540413454733,2.293651923875202
b'\x07\xa0\xde\x1e\xce\xe7O;\x81\xe9\xe6\xf1\\\xf3\x9d\xeb',24249.42,4452.04,19797.38,26036.129999999997,1.073680525142457,5.8481347876479095
b'\x07\xa59\xf3\x88\xfcCM\x97\x95\xb7\xf3\xc4W\x9c\x08',10816.1,6208.0,4608.1,10826.76,1.0009855678109485,1.7440012886597938
b'\x07\xacy\xe0\xd3iI\xb7\xaa<\x06\xf7>D\xc2\x9d',7200.5,4703.9,2496.6,7234.32,1.0046968960488853,1.5379408575862583
b'\x07\xc0\xe6\xadD\xa0M\xa5\xb7\xc5a\xdf|\xc1\xca\xab',6206.77,3928.0,2278.77,6655.24,1.0722549731986202,1.6943075356415478
b'\x07\xc7h\xffp\x12L\x01\xbc\xa8\x97=\xe44\x905',25142.84,17189.77,7953.07,27574.14,1.0966994977496576,1.6041017419081232
b'\x07\xca\x02\xa8\xbf\xffM\x0e\x85\xccV8\x05f\x85\xcb',20778.47,10886.32,9892.15,21835.5,1.050871406797517,2.0057742193872676
b'\x07\xdd\x1b>\xf8\xb9EK\xbb_\xba\xc4\xc53\xd8\xe4',11018.15,9183.01,1835.14,11048.08,1.0027164269863815,1.2031000728519299
b'\x07\xe1\x19*\xda\xe6K\x8a\x8b\xb1\x89mx\xe4\x7fe',32241.96,20649.55,11592.41,32603.239999999998,1.0112052741210522,1.5788838013419177
b'\x07\xf0\xd4\xef\x9d\x07K\xf5\x80\xcf#Y\x10hQ\x0c',7923.04,3343.89,4579.15,10098.310000000001,1.2745499202326382,3.0199288852205073
"b'\x08\x0bGDe\xacOT\xa5v\x90\t\x0eN\x96,'",20298.93,11811.2,8487.73,21507.120000000003,1.059519886023549,1.8209089677594148
b'\x08*;g\x81\xa7Dq\xad\x9e\xfe_\x86\x95\x10\xbd',38774.99,15246.89,23528.1,40194.62,1.036612001705223,2.6362504090998233
b'\x08G\xd7\xbf\xb2\x02Kz\x88\xacjq\x02{n\xc0',2889.97,5.69,2884.28,2326.91,0.8051675276905988,10.0
b'\x08NS\x9drfIU\x8f\xad=\xb2\xec\xe1\xd0n',83617.16,37572.22,46044.94,84962.6,1.0160904771221602,2.261314343416492
b'\x08ULB\xd7nC\xa6\x84}\xb7{c>I\xaa',20997.9,17181.059999999998,3816.84,21031.71,1.0016101610161015,1.2241217945807767
b'\x08d%\xe5E\xc5O\xe1\x87\xd4q\xaf|\xc0\x95\xbf',6867.97,56.37,6811.6,7134.33,1.0387829300360951,10.0
